pow 15
skel time 2.223
solve time 0.0709359
skel time 1.29805
solve time 0.0468824
skel time 0.83604
solve time 0.0338556
skel time 0.741488
solve time 0.0296214
skel time 2.1546
solve time 0.0702989
skel time 1.32935
solve time 0.0495488
skel time 0.795943
solve time 0.0320262
skel time 0.749165
solve time 0.0296718
skel time 2.16646
solve time 0.0698585
skel time 1.30231
solve time 0.0474175
skel time 0.865136
solve time 0.0460683
skel time 0.837367
solve time 0.0316717
pow 16
skel time 4.05371
solve time 0.147234
skel time 2.35679
solve time 0.0987816
skel time 1.46167
solve time 0.0826392
skel time 1.36489
solve time 0.0585974
skel time 4.06241
solve time 0.139368
skel time 2.35825
solve time 0.0900051
skel time 1.43945
solve time 0.0655728
skel time 1.39443
solve time 0.0598723
skel time 4.05618
solve time 0.139463
skel time 2.37723
solve time 0.0898045
skel time 1.4601
solve time 0.0681747
skel time 1.33522
solve time 0.0600511
pow 17
skel time 7.79399
solve time 0.284693
skel time 4.44392
solve time 0.181417
skel time 2.66598
solve time 0.130946
skel time 2.50954
solve time 0.121005
skel time 7.68754
solve time 0.274048
skel time 4.40113
solve time 0.181822
skel time 2.63234
solve time 0.130688
skel time 2.45401
solve time 0.118669
skel time 7.6568
solve time 0.274038
skel time 4.34659
solve time 0.180992
skel time 2.57884
solve time 0.130675
skel time 2.43186
solve time 0.119413
pow 18
skel time 15.2743
solve time 0.607822
skel time 8.57721
solve time 0.361725
skel time 4.90328
solve time 0.261087
skel time 4.58105
solve time 0.241954
skel time 15.1252
solve time 0.603889
skel time 8.57066
solve time 0.36392
skel time 4.92038
solve time 0.262654
skel time 4.69323
solve time 0.256338
skel time 15.1397
solve time 0.604393
skel time 8.58935
solve time 0.363632
skel time 4.9511
solve time 0.260373
skel time 4.40407
solve time 0.240244
pow 19
skel time 29.9926
solve time 1.2007
skel time 16.7866
solve time 0.726038
skel time 9.64139
solve time 0.516307
skel time 8.50801
solve time 0.465677
skel time 29.7687
solve time 1.2019
skel time 16.8129
solve time 0.72337
skel time 9.67485
solve time 0.517259
skel time 8.40571
solve time 0.468998
skel time 30.0338
solve time 1.2042
skel time 16.8823
solve time 0.726764
skel time 9.59645
solve time 0.518343
skel time 8.505
solve time 0.471357
